Kepler ID,Teff
1864521,5932
1864523,5102
1864603,8811
1864748,5374
1864823,4774
1864855,4838
1864858,5099
1864891,5751
1864894,5945
1864909,5269
1864951,6072
1864959,4765
1864963,5862
1864987,5860
1864998,5595
1865042,5112
1865087,6020
1865102,4676
1865110,5947
1865136,6021
1865152,5677
1865159,5516
1865174,5295
1865188,5298
1865206,5160
1865214,5326
1865231,5691
1865262,4566
1865273,5555
1865305,6233
1865323,6042
1865325,5071
1865448,
1865477,4855
1865519,6080
1865527,5533
1865567,9686
1865590,6215
1865595,4344
1865643,5542
1865663,4230
1865674,5272
1865698,5197
1865744,
1865747,4587
1865864,4675
1865910,
1865925,4530
1866058,4538
1866137,4622
1866174,4733
1866182,4711
1866234,5355
1866235,
1866252,5809
1866361,4710
1866366,
1866535,3878
1866732,6064
1866734,4524
1866749,4025
1866778,5843
1866842,5803
1866924,4117
1866985,5055
1866986,3832
1867078,
1867112,4660
1867120,6027
1867210,4918
1867333,10710
1867358,3807
1867462,4431
1867489,5796
1867521,5116
1867532,4668
1867553,5985
1867559,4739
1867630,6443
1867645,4694
1867684,5936
1867702,5765
1867706,4744
1867740,5672
1867844,
1867921,5933
1867991,5647
1868008,6116
1868018,5766
1868075,5680
1868101,4397
1868233,4857
1868259,4177
1868303,4810
1868404,5943
1868457,5881
1868524,4774
1868579,4069
1868650,10733
1868676,5345
1868785,5596
1868792,3993
1868918,5954
1869025,6149
1869151,6226
1869183,5835
1869231,5457
1869327,4584
1869352,6076
1869371,4996
1869400,5057
1869469,5439
1869499,6338
1869510,5668
1869607,5725
1869673,4217
1869783,4497
1869817,5644
1869922,5283
1869933,5303
1870028,5816
1870057,8283
1870062,5443
1870144,5502
1870162,5673
1870196,4856
1870225,6065
1870234,5714
1870375,5934
1870385,
1870398,5928
1870424,5648
1870433,4900
1870445,5364
1870480,5203
1870495,4884
1870683,5991
1870710,4922
1870714,4910
1870743,6184
1870769,6271
1870795,5132
1870799,5973
1870849,
1870914,6043
1870952,3947
1870957,5765
1871056,5956
1871091,5045
1871103,5553
1871120,4011
1871148,
1871176,6023
1871290,5450
1871314,4522
1871358,5600
1871438,5721
1871465,4618
1871483,4703
1871487,5497
1871517,4770
1871555,3208
1871571,4666
1871579,5264
1871588,5351
1871631,4590
1871665,4942
1871678,4310
1871759,5886
1871763,4110
1871815,3966
1871880,5610
1871888,5113
1871927,4663
1871967,
1871981,4710
1871995,4766
1872012,6131
1872078,6377
1872084,5406
1872154,6354
1872157,4942
1872161,5986
1872166,4928
1872189,5797
1872192,5465
1872199,
1872210,5014
1872244,5035
1872262,6832
1872289,4749
1872324,9319
1872340,4831
1872347,5743
1872349,5102
1872368,5398
1872375,4902
1872421,4649
1872433,4894
1872469,4601
1872499,5684
1872517,4537
1872530,5534
1872543,5542
1872547,5157
1872561,5215
1872612,5585
1872613,4719
1872666,5654
1872688,4834
1872723,5079
1872749,4865
1872752,5524
1872770,5332
1872781,4408
1872802,5129
1872821,5517
1872842,4584
1872869,4625
1872885,3688
1872909,5740
1872948,7490
1872956,5540
1872974,5716
1873030,6871
1873157,6340
1873187,5257
1873198,4591
1873204,
1873268,5323
1873351,5685
1873367,6224
1873370,5950
1873493,6056
1873510,4908
1873513,3109
1873523,4026
1873543,3702
1873552,7740
1873583,8627
1873589,5422
1873656,4507
1873689,5307
1873703,5646
1873753,5356
1873754,4842
1873755,6054
1873779,5860
1873823,5926
1873895,5385
1873898,4676
1873918,5715
1873925,5826
1873986,4772
1873987,5731
1874014,5334
1874094,4410
1874101,5717
1874268,6403
1874294,4684
1874333,5650
1874365,5429
1874384,5669
1874623,4630
1995038,5800
1995080,5499
1995089,4451
1995126,5306
1995130,5707
1995140,4605
1995155,5530
1995168,4018
1995192,5603
1995195,6038
1995248,5930
1995305,3566
1995315,4919
1995316,4729
1995323,5883
1995340,5815
1995351,5449
1995358,4811
1995360,5751
1995430,5014
1995431,7347
1995443,5887
1995461,
1995489,
1995493,5356
1995519,5428
1995522,
1995526,5544
1995535,4938
1995622,5675
1995656,5704
1995666,5155
1995668,4708
1995710,
1995712,5849
1995732,5163
1995787,5884
1995789,5524
1995796,
1995807,5191
1995840,5284
1995845,5637
1995859,4761
1995862,5245
1995908,4932
1995910,4940
1996021,6098
1996047,5574
1996078,4794
1996088,5026
1996121,5406
1996162,5421
1996169,
1996180,5929
1996181,5367
1996214,5160
1996240,5650
1996260,
1996272,4800
1996273,4830
1996399,3802
1996405,5599
1996408,
1996415,4759
1996456,6790
1996473,
1996492,5760
1996497,4703
1996574,4132
1996628,4728
1996637,4982
1996668,4859
1996679,5914
1996716,6115
1996719,5900
1996721,4836
1996728,3754
1996760,5788
1996773,4854
1996818,4725
1996859,5187
1996936,4962
1997009,5203
1997127,5609
2010051,3193
2010071,5324
